Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_10:29:27,50.0,40.0,40.0,41.0,50.0,39.0,40.0,41.0,39.0,3341.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2469.4,3400.0,3400.0,3400.0,3400.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,0.0,0.0,0.0,0.0,15.6,10.3,0,0.7
2026-04-09_10:29:28,50.0,40.0,40.0,41.0,50.0,39.0,40.0,41.0,39.0,3249.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,994.8,3400.0,3400.0,3400.0,3400.0,2.9,8.7,0.0,4.2,0.0,0.0,4.2,0.0,4.2,4.2,0.0,0.0,20.8,0.0,0.0,4.2,0.0,13.1,7.0,0,0.7
2026-04-09_10:29:28,50.0,40.0,40.0,41.0,50.0,39.0,40.0,41.0,39.0,3265.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1241.9,3400.0,3400.0,3400.0,3400.0,2.2,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,6.2,1.2,0,0.6
2026-04-09_10:29:28,50.0,40.0,40.0,41.0,50.0,39.0,40.0,41.0,39.0,3266.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1261.3,3400.0,3400.0,3400.0,3400.0,2.8,0.0,0.0,9.1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,26.1,0.0,4.3,0.0,0.0,7.7,2.5,0,0.7
2026-04-09_10:29:28,50.0,40.0,40.0,41.0,50.0,39.0,40.0,41.0,39.0,3274.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,997.0,3400.0,3400.0,3400.0,3400.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,4.2,0.0,0.0,0.0,7.4,1.4,0,0.7
2026-04-09_10:29:28,41.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3263.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1211.9,3400.0,3400.0,3400.0,3400.0,2.5,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.3,0.0,0.0,0.0,27.3,0.0,4.3,4.3,4.3,7.5,1.5,0,0.7
2026-04-09_10:29:29,41.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3271.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1347.1,3400.0,3400.0,3400.0,3400.0,4.8,12.5,8.3,0.0,16.7,0.0,0.0,4.2,0.0,4.3,0.0,0.0,26.1,0.0,18.2,9.1,0.0,9.0,3.0,0,0.7
2026-04-09_10:29:29,41.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3040.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1404.3,3400.0,3400.0,3400.0,3400.0,3.7,8.7,0.0,4.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,9.5,4.5,4.3,8.0,2.0,0,0.7
2026-04-09_10:29:29,41.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3265.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1241.0,3400.0,3400.0,3400.0,3400.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,21.7,0.0,4.5,8.7,0.0,7.7,1.7,0,0.7
2026-04-09_10:29:29,41.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3264.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1238.4,3400.0,3400.0,3400.0,3400.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.5,22.7,0.0,0.0,0.0,0.0,7.2,1.2,0,0.6
2026-04-09_10:29:30,40.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3265.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1242.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,4.3,0.0,4.3,6.2,1.1,0,0.6
2026-04-09_10:29:30,40.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3268.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1291.6,3400.0,3400.0,3400.0,3400.0,2.3,0.0,4.3,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,22.7,0.0,4.3,0.0,0.0,6.2,1.1,0,0.6
2026-04-09_10:29:30,40.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3265.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1250.3,3400.0,3400.0,3400.0,3400.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,5.4,1.1,0,0.6
2026-04-09_10:29:30,40.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3267.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1283.4,3400.0,3400.0,3400.0,3400.0,2.0,0.0,4.3,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,22.7,0.0,4.3,0.0,0.0,7.2,1.2,0,0.6
2026-04-09_10:29:30,40.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3266.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1258.3,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.5,18.2,0.0,0.0,0.0,0.0,7.1,1.1,0,0.6
2026-04-09_10:29:31,40.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3267.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1285.2,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,26.1,0.0,0.0,0.0,0.0,6.2,1.1,0,0.6
2026-04-09_10:29:31,40.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3263.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1221.2,3400.0,3400.0,3400.0,3400.0,1.7,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,19.0,4.3,0.0,4.3,0.0,7.1,1.1,0,0.6
2026-04-09_10:29:31,40.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3264.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1228.9,3400.0,3400.0,3400.0,3400.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,26.1,0.0,0.0,0.0,4.3,6.2,1.2,0,0.6
2026-04-09_10:29:31,40.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3470.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3323.4,3400.0,3400.0,38.2,36.4,36.4,36.4,33.3,34.8,36.4,36.4,39.1,36.4,33.3,36.4,52.2,54.5,36.4,36.4,34.8,36.8,30.8,0,0.7
2026-04-09_10:29:32,40.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,4600.0,3400.0,3400.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,9.5,0.0,0.0,31.6,25.6,0,0.7
2026-04-09_10:29:32,52.0,51.0,50.0,51.0,50.0,52.0,48.0,50.0,48.0,4547.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4547.7,4547.9,3400.0,3400.0,28.6,23.8,22.7,22.7,26.1,22.7,27.3,22.7,23.8,22.7,26.1,26.1,22.7,100.0,28.6,27.3,22.7,40.8,34.6,0,0.8
